date,sales
2018-02-26,16267.619999999977
2018-02-27,20114.64999999999
2018-02-28,12430.309999999994
2018-03-01,11370.849999999995
2018-03-02,12918.62999999999
2018-03-03,3916.519999999999
2018-03-04,5309.1900000000005
2018-03-05,23902.590000000007
2018-03-06,14778.419999999986
2018-03-07,12364.77999999999
2018-03-08,13038.369999999999
2018-03-09,9014.97
2018-03-10,4823.24
2018-03-11,4910.319999999998
2018-03-12,14705.19999999999
2018-03-13,17541.89
2018-03-14,8880.049999999996
2018-03-15,17380.659999999996
2018-03-16,9448.380000000001
2018-03-17,5362.889999999999
2018-03-18,5708.069999999998
2018-03-19,18334.76999999997
2018-03-20,15313.88999999999
2018-03-21,13121.06
2018-03-22,9046.75
2018-03-23,10029.919999999993
2018-03-24,2732.170000000001
2018-03-25,5143.950000000003
2018-03-26,21024.040000000008
2018-03-27,13729.519999999991
2018-03-28,15181.010000000004
2018-03-29,14955.22999999999
2018-03-30,7431.049999999999
2018-03-31,4336.749999999999
2018-04-01,4799.220000000001
2018-04-02,14256.439999999999
2018-04-03,12155.04999999999
2018-04-04,16667.819999999992
2018-04-05,13040.379999999997
2018-04-06,8489.59
2018-04-07,3068.8600000000015
2018-04-08,7290.579999999999
2018-04-09,17137.98999999999
2018-04-10,13857.329999999994
2018-04-11,16225.779999999993
2018-04-12,14106.499999999996
2018-04-13,11509.389999999994
2018-04-14,6126.749999999998
2018-04-15,4645.719999999998
2018-04-16,23858.01999999999
2018-04-17,14605.16000000001
2018-04-18,16765.86
2018-04-19,11593.129999999992
2018-04-20,16666.309999999998
2018-04-21,4703.32
2018-04-22,6969.590000000001
2018-04-23,25033.580000000024
2018-04-24,20436.91
2018-04-25,13877.80000000001
2018-04-26,16705.819999999996
2018-04-27,12649.91
2018-04-28,3811.7199999999993
2018-04-29,4754.400000000001
2018-04-30,19201.249999999996
2018-05-01,20769.610000000004
2018-05-02,15449.01999999999
2018-05-03,19256.429999999993
2018-05-04,14542.739999999994
2018-05-05,7004.759999999997
2018-05-06,6669.890000000001
2018-05-07,25009.920000000006
2018-05-08,24209.72000000001
